Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
189	Iron bcc (old)	17.88	4.7713	4	13.40	246.79	5.4386	1.2993	9.8398	0.86	2.55	349.88	44.02	54.42	True	edge
190	Iron bcc (old)	10.28	3.6179	5	227.81	243.01	4.8892	1.8263	3.703	0.42	1.29	219.25	41.08	41.21	True	no
191	Iron bcc (old)	6.28	2.8277	5	478.84	243.38	3.1048	1.2056	39.592	0.49	1.37	106.18	37.80	71.66	True	no
192	Iron bcc (old)	5.64	2.6798	2	553.96	247.16	4.3909	2.6849	65.634	3.42	6.17	110.23	45.13	54.96	True	no
193	Iron bcc (old)	42.6	7.3648	5	356.99	261.11	9.0378	1.5059	56.196	2.46	5.50	111.22	45.37	58.58	True	edge
194	Iron bcc (old)	24.16	5.5463	4	420.03	256.37	7.195	1.6829	76.977	0.56	1.69	232.20	49.96	40.19	True	no
195	Iron bcc (old)	12.72	4.0244	6	86.73	252.09	4.738	1.3861	132.11	0.74	1.82	139.72	41.44	40.40	True	no
196	Iron bcc (old)	25	5.6419	3	379.42	259.96	8.3389	2.1846	73.526	2.23	8.22	249.81	36.43	5.45	True	edge
197	Iron bcc (old)	6.76	2.9338	4	207.24	250.37	3.4944	1.4187	43.52	0.37	1.59	216.86	29.74	46.14	True	no
198	Iron bcc (old)	9.48	3.4742	2	281.47	256.85	5.7119	2.703	76.463	4.19	5.90	276.15	41.74	89.09	True	no
199	Iron bcc (old)	31	6.2825	4	323.79	259.66	7.1099	1.2807	8.7701	0.53	2.09	251.47	42.56	11.35	True	no
200	Iron bcc (old)	2.36	1.7334	4	73.95	252.39	2.3042	1.7669	66.468	0.91	4.76	318.27	46.37	56.85	True	no
201	Iron bcc (old)	21.48	5.2296	5	225.21	259.00	6.3508	1.4747	167.14	0.81	2.08	294.33	44.86	74.22	True	no
202	Iron bcc (old)	44.4	7.5188	4	603.12	268.14	10.973	2.1297	15.068	0.77	2.18	99.22	51.08	50.08	True	corner
203	Iron bcc (old)	26.92	5.8545	7	464.93	264.78	7.4568	1.6223	30.419	4.11	8.71	219.51	36.56	39.16	True	edge
204	Iron bcc (old)	19.72	5.0108	3	9.87	266.52	5.3739	1.1502	49.728	1.77	9.07	187.49	41.26	38.33	True	corner
205	Iron bcc (old)	7.48	3.0861	6	29.52	261.73	4.0106	1.6889	125.02	3.01	7.76	103.30	47.84	36.72	True	no
206	Iron bcc (old)	30.08	6.1886	6	192.78	267.34	7.7517	1.5689	5.3686	1.04	2.99	144.26	45.53	47.64	True	edge
207	Iron bcc (old)	6.68	2.9164	4	79.81	265.05	4.0701	1.9477	111.27	3.23	5.15	85.76	51.21	39.92	True	no
208	Iron bcc (old)	5.12	2.5532	5	68.82	264.55	2.7301	1.1433	98.967	1.11	3.12	88.20	45.66	41.60	True	no
209	Iron bcc (old)	5.4	2.6221	3	549.87	265.01	3.3732	1.6549	119.81	0.40	1.24	92.37	42.66	52.10	True	no
